Latitude,Longitude,AQI
35.16126,-89.87065,33.325
35.1852,-106.50815,18.29032258064516
35.186278,-94.786643,20.9
35.19324,-106.613815,39.25806451612903
35.197288,-90.193141,30.2
35.201592,-101.909275,11.275862068965518
35.213171,-80.874084,33.696969696969695
35.2401,-80.785683,28.19047619047619
35.25651,-120.6693,13.74074074074074
35.263165,-79.836636,28.29032258064516
35.320105,-97.484099,43.67741935483871
35.324636,-118.997627,57.888888888888886
35.356615,-119.062613,70.6875
35.385574,-119.015009,65.4
35.40814,-94.524413,27.7
35.434767,-83.442133,29.774193548387096
35.450115,-84.596195,24.70967741935484
35.466767,-83.277928,18.066666666666666
35.47292,-97.52709,27.142857142857142
35.49453,-120.66617,25.806451612903224
35.50307,-97.577981,40.354838709677416
35.59095,-78.4622,25.741935483870968
35.6062,-82.5844,20.52777777777778
35.614131,-97.475083,31.125
35.61975,-106.07968,12.580645161290322
35.637283,-91.188906,29.2
35.641276,-77.360126,20.5
35.642943,-117.715066,6.032258064516129
35.651349,-88.809578,20.677419354838708
35.65188,-87.0096,23.93548387096774
35.721095,-84.343035,21.112903225806452
35.728889,-81.365556,28.52777777777778
35.768847,-83.942152,22.88888888888889
35.785665,-115.357087,10.161290322580646
35.8145,-80.2627,36.611111111111114
35.837638,-90.679516,29.0
35.856111,-78.574167,37.583333333333336
35.8652,-78.8197,21.903225806451612
35.880404,-109.438003,5.0
35.912487,-82.062082,18.032258064516128
35.939078,-84.542802,24.322580645161292
35.944601,-84.03598,23.0
35.953708,-96.004975,31.29032258064516
35.978074,-83.950666,25.0
35.980675,-83.925773,32.0
36.019186,-83.87381,23.8
36.026612,-80.341962,34.638888888888886
36.032955,-78.904037,37.24390243902439
36.048705,-115.052942,23.612903225806452
36.05266,-89.382157,25.70967741935484
36.102244,-119.56565,63.794871794871796
36.106389,-115.253333,30.64516129032258
36.109006,-79.802314,22.0
36.11094,-80.224501,29.85
36.139707,-115.175654,37.806451612903224
36.141875,-115.078742,42.093023255813954
36.1424,-86.7341,32.7037037037037
36.158414,-98.931973,28.655172413793103
36.163962,-115.11393,40.3421052631579
36.176382,-86.7389,29.0
36.1797,-94.116827,31.1
36.185702,-85.492107,20.451612903225808
36.204902,-95.976537,37.30434782608695
36.209286,-121.126371,15.419354838709678
36.270592,-115.238282,21.677419354838708
36.29756,-86.653137,21.63888888888889
36.31567,-119.643447,65.61290322580645
36.332179,-119.291228,70.54545454545455
36.383359,-105.5839,47.0
36.435172,-94.229248,31.142857142857142
36.459691,-94.205662,32.23076923076923
36.48187,-121.73333,11.129032258064516
36.487823,-117.871036,15.78048780487805
